dataset,method,noise_level,poison_rate,poison_strategy,seed,downstream_model,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,llm_model,llm_provider,llm_baseline,llm_batches,relative_f1,f1_drop_from_noise0
Apache,Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.5,0.1,instruction,1,,9.157338300021365,398.1451434791898,0.8260869565217391,0.6,0.6,0.6,0.7444444444444445,0.8388888888888889,0.8388888888888889,0.5914285714285714,0.14677826086956522,0.12478260869565218,0.17391304347826086,5.782608695652174,133.0,2.608695652173913,60.0,0.0,0.0,274.8695652173913,6322.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,613.7391304347826,14116.0,51.08695652173913,1175.0,0.45112781954887216,0.0,0.0,0.6521739130434783,0.5551839464882944,0.5521394162652309,0.0,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-telemin,3.0,2.1,-0.3142857142857143
HPC,Full Context,0.0,0.1,instruction,1,logistic,0.012767499894835055,0.555108691079785,0.6521739130434783,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.6349206349206349,0.803921568627451,0.803921568627451,0.7138528138528139,0.21217105440624892,0.28367538384414187,0.34782608695652173,9.0,207.0,0.0,0.0,1.0,23.0,365.0,8395.0,49.78260869565217,1145.0,9.0,207.0,0.0,0.0,1.0,23.0,365.0,8395.0,49.78260869565217,1145.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.13639070875521145,1.7998972907662392e-06,8.0,,,,,,,,,,,,,,1.0,0.0
HPC,Full Context,0.5,0.1,instruction,1,logistic,0.023628300055861473,1.0273173937331075,0.6956521739130435,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.6734279918864097,0.8137254901960784,0.8137254901960784,0.7212602212602213,0.1881772784484011,0.1839042075109291,0.30434782608695654,13.0,299.0,4.0,92.0,1.0,23.0,508.6521739130435,11699.0,51.34782608695652,1181.0,13.0,299.0,4.0,92.0,1.0,23.0,508.6521739130435,11699.0,51.34782608695652,1181.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.10094879904265322,1.7998972907662392e-06,8.0,,,,,,,,,,,,,,1.0588235294117647,-0.0326797385620915
HPC,Random-k Selection,0.0,0.1,instruction,1,logistic,0.007433000020682812,0.32317391394273093,0.6521739130434783,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.6349206349206349,0.8431372549019608,0.8431372549019608,0.6953703703703703,0.20984931096863618,0.2637236469830759,0.34782608695652173,3.0,69.0,0.0,0.0,0.391304347826087,9.0,121.17391304347827,2787.0,19.695652173913043,453.0,9.0,207.0,0.0,0.0,1.0,23.0,365.0,8395.0,49.78260869565217,1145.0,0.0,0.13043478260869565,0.391304347826087,0.0,0.6666666666666667,0.6680166765932103,0.16254036598493002,9.00006853044033e-07,3.0,,,,,,,,,,,,,,1.0,0.0
HPC,Random-k Selection,0.5,0.1,instruction,1,logistic,0.008843400049954653,0.3844956543458545,0.6956521739130435,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.6734279918864097,0.7450980392156863,0.7450980392156863,0.5204055204055203,0.21149998040042006,0.23702746381046352,0.30434782608695654,3.0,69.0,1.2173913043478262,28.0,0.13043478260869565,3.0,119.0,2737.0,6.391304347826087,147.0,13.0,299.0,4.0,92.0,1.0,23.0,508.6521739130435,11699.0,51.34782608695652,1181.0,0.4057971014492754,0.043478260869565216,0.13043478260869565,0.30434782608695654,0.7692307692307692,0.7660483802034361,0.05370843989769821,9.00006853044033e-07,3.0,,,,,,,,,,,,,,1.0588235294117647,-0.0326797385620915
HPC,TF-IDF/BM25 Selection,0.0,0.1,instruction,1,logistic,0.015002199914306402,0.6522695614915827,0.7391304347826086,0.5,0.6666666666666666,0.5714285714285714,0.6919642857142857,0.6764705882352942,0.6764705882352942,0.43358395989974935,0.19974343913864345,0.16001586652356276,0.2608695652173913,3.0,69.0,0.0,0.0,0.0,0.0,120.6086956521739,2774.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,365.0,8395.0,49.78260869565217,1145.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6695652173913044,0.0,0.008764600032009184,3.0,,,,,,,,,,,,,,1.0,0.0
HPC,TF-IDF/BM25 Selection,0.5,0.1,instruction,1,logistic,0.024771300028078258,1.0770130446990547,0.5652173913043478,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4362745098039216,0.4068627450980392,0.5931372549019608,0.2615454877603215,0.250717790630677,0.20974161063294333,0.43478260869565216,3.0,69.0,0.5652173913043478,13.0,0.0,0.0,120.78260869565217,2778.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,508.6521739130435,11699.0,51.34782608695652,1181.0,0.18840579710144928,0.0,0.0,0.14130434782608695,0.7692307692307692,0.7625438071630054,0.0,0.008764600032009184,3.0,,,,,,,,,,,,,,0.2916666666666667,0.40476190476190477
HPC,Mutual Information Feature Selection,0.0,0.1,instruction,1,logistic,0.01656300004106015,0.7201304365678326,0.5652173913043478,0.375,1.0,0.5454545454545454,0.5643939393939394,0.7352941176470589,0.7352941176470589,0.4503968253968254,0.2610559850915551,0.30980175018542255,0.43478260869565216,3.0,69.0,0.0,0.0,0.0,0.0,121.8695652173913,2803.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,365.0,8395.0,49.78260869565217,1145.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6661107802263252,0.0,1.417833699961193,3.0,,,,,,,,,,,,,,1.0,0.0
HPC,Mutual Information Feature Selection,0.5,0.1,instruction,1,logistic,0.02056729991454631,0.8942304310672309,0.6521739130434783,0.42857142857142855,1.0,0.6,0.6461538461538461,0.7450980392156863,0.7450980392156863,0.4558913308913309,0.23000092297465122,0.26935076218327286,0.34782608695652173,3.0,69.0,0.5652173913043478,13.0,0.0,0.0,113.08695652173913,2601.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,508.6521739130435,11699.0,51.34782608695652,1181.0,0.18840579710144928,0.0,0.0,0.14130434782608695,0.7692307692307692,0.7776733054107189,0.0,1.417833699961193,3.0,,,,,,,,,,,,,,1.1,-0.054545454545454564
HPC,Embedding Similarity Selection,0.0,0.1,instruction,1,logistic,0.10367729992140085,4.50770869223482,0.6521739130434783,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.6349206349206349,0.7745098039215685,0.7745098039215685,0.6406084656084656,0.2082880963684815,0.26086246703749794,0.34782608695652173,3.0,69.0,0.0,0.0,1.0,23.0,137.56521739130434,3164.0,49.78260869565217,1145.0,9.0,207.0,0.0,0.0,1.0,23.0,365.0,8395.0,49.78260869565217,1145.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666667,0.6231089934484813,0.36188369152970923,0.08738289994653314,3.0,,,,,,,,,,,,,,1.0,0.0
HPC,Embedding Similarity Selection,0.5,0.1,instruction,1,logistic,0.14075089991092682,6.11960434395334,0.6956521739130435,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.6734279918864097,0.6568627450980392,0.6568627450980392,0.4818121693121693,0.20723798607268867,0.2444180847456494,0.30434782608695654,3.0,69.0,0.2608695652173913,6.0,1.0,23.0,145.2173913043478,3340.0,51.34782608695652,1181.0,13.0,299.0,4.0,92.0,1.0,23.0,508.6521739130435,11699.0,51.34782608695652,1181.0,0.08695652173913043,0.3333333333333333,1.0,0.06521739130434782,0.7692307692307692,0.7145055132917344,0.3535928143712575,0.08738289994653314,3.0,,,,,,,,,,,,,,1.0588235294117647,-0.0326797385620915
HPC,TeleMin-RAG,0.0,0.1,instruction,1,logistic,0.14235149999149144,6.189195651803976,0.5652173913043478,0.375,1.0,0.5454545454545454,0.5643939393939394,0.6764705882352942,0.6764705882352942,0.39743589743589747,0.2591416363361162,0.3166350192662591,0.43478260869565216,2.0,46.0,0.0,0.0,0.0,0.0,75.56521739130434,1738.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,365.0,8395.0,49.78260869565217,1145.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.7929720071471114,0.0,1.3936977999983355,2.3076923076923075,0.72,1.0,6.0,True,True,True,True,True,True,,,,,1.0,0.0
HPC,TeleMin-RAG,0.5,0.1,instruction,1,logistic,0.1579753999831155,6.868495651439804,0.6521739130434783,0.42857142857142855,1.0,0.6,0.6461538461538461,0.6764705882352942,0.6764705882352942,0.39743589743589747,0.2227385761449104,0.2721102865121028,0.34782608695652173,1.565217391304348,36.0,0.34782608695652173,8.0,0.0,0.0,61.73913043478261,1420.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,508.6521739130435,11699.0,51.34782608695652,1181.0,0.2222222222222222,0.0,0.0,0.08695652173913043,0.8795986622073578,0.8786221044533721,0.0,1.3936977999983355,2.3076923076923075,0.72,1.0,6.0,True,True,True,True,True,True,,,,,1.1,-0.054545454545454564
HPC,Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.0,0.1,instruction,1,,22.20557320001535,965.4597043484936,0.13043478260869565,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.12878787878787878,0.10784313725490197,0.892156862745098,0.18116649855780292,0.7791999999999999,0.8165217391304347,0.8695652173913043,9.0,207.0,0.0,0.0,1.0,23.0,365.0,8395.0,49.78260869565217,1145.0,9.0,207.0,0.0,0.0,1.0,23.0,365.0,8395.0,49.78260869565217,1145.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.13639070875521145,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,zero-shot-full,3.0,1.0,0.0
