dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,used_shap,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
BGL,Random-k Selection,0.4,0.1,instruction,13,0.05128699995111674,0.6838266660148898,0.7866666666666666,0.4,0.46153846153846156,0.42857142857142855,0.648711943793911,0.7915632754342432,0.7915632754342432,0.5225157178726636,0.13854906808250667,0.16537357498109934,0.21333333333333335,3.0,225.0,0.6666666666666666,50.0,0.28,21.0,172.22666666666666,12917.0,13.906666666666666,1043.0,12.0,900.0,3.0,225.0,1.0,75.0,688.44,51633.0,50.22666666666667,3767.0,0.2222222222222222,0.09333333333333334,0.28,0.2222222222222222,0.75,0.7498305347355374,0.08074630332120461,2.8999638743698597e-06,3.0,,,,,,,,,,,0.6,0.28571428571428575
BGL,Random-k Selection,0.5,0.1,instruction,13,0.04186820000177249,0.5582426666902999,0.8133333333333334,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.674317617866005,0.8064516129032259,0.8064516129032259,0.6469939335047756,0.12386536350980125,0.15995467206802266,0.18666666666666668,3.0,225.0,1.0133333333333334,76.0,0.13333333333333333,10.0,174.98666666666668,13124.0,6.613333333333333,496.0,13.0,975.0,4.0,300.0,1.0,75.0,760.7733333333333,57058.0,50.46666666666667,3785.0,0.3377777777777778,0.044444444444444446,0.13333333333333333,0.25333333333333335,0.7692307692307692,0.7699884328227418,0.03779335568424261,2.8999638743698597e-06,3.0,,,,,,,,,,,0.6461538461538462,0.25274725274725274
BGL,TF-IDF/BM25 Selection,0.0,0.1,instruction,13,0.08586379996268079,1.1448506661690772,0.9333333333333333,0.7222222222222222,1.0,0.8387096774193549,0.8983464353483329,0.9913151364764268,0.9913151364764268,0.9576590076590076,0.07797616333492018,0.20265534868239418,0.06666666666666667,3.0,225.0,0.0,0.0,0.6,45.0,174.96,13122.0,29.586666666666666,2219.0,9.0,675.0,0.0,0.0,1.0,75.0,515.2533333333333,38644.0,50.12,3759.0,0.0,0.2,0.6,0.0,0.6666666666666667,0.6604388779629438,0.16910531931108064,0.060438199958298355,3.0,,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.1,0.1,instruction,13,0.0796381999971345,1.0618426666284602,0.92,0.6842105263157895,1.0,0.8125,0.8808262711864407,0.9863523573200993,0.9863523573200993,0.9436239199397094,0.09454902885408774,0.2316741428599507,0.08,3.0,225.0,0.36,27.0,0.6533333333333333,49.0,185.26666666666668,13895.0,32.013333333333335,2401.0,10.0,750.0,1.0,75.0,1.0,75.0,577.7466666666667,43331.0,49.88,3741.0,0.12,0.21777777777777776,0.6533333333333333,0.36,0.7,0.679328886940066,0.17279596977329975,0.060438199958298355,3.0,,,,,,,,,,,0.96875,0.02620967741935487
BGL,TF-IDF/BM25 Selection,0.2,0.1,instruction,13,0.06429830001434311,0.8573106668579081,0.92,0.6842105263157895,1.0,0.8125,0.8808262711864407,0.9925558312655087,0.9925558312655087,0.9653513153513155,0.09872742114415978,0.24853127293536836,0.08,3.0,225.0,0.64,48.0,0.64,48.0,186.02666666666667,13952.0,31.546666666666667,2366.0,11.0,825.0,2.0,150.0,1.0,75.0,631.6,47370.0,50.333333333333336,3775.0,0.21333333333333335,0.21333333333333335,0.64,0.32,0.7272727272727273,0.7054675955245937,0.16958142201834864,0.060438199958298355,3.0,,,,,,,,,,,0.96875,0.02620967741935487
BGL,TF-IDF/BM25 Selection,0.3,0.1,instruction,13,0.061962900042999536,0.8261720005733272,0.92,0.6842105263157895,1.0,0.8125,0.8808262711864407,0.9863523573200993,0.9863523573200993,0.93784516765286,0.09917028457274127,0.23031391662233444,0.08,3.0,225.0,0.68,51.0,0.6533333333333333,49.0,185.6,13920.0,32.013333333333335,2401.0,11.0,825.0,2.0,150.0,1.0,75.0,628.1733333333333,47113.0,49.693333333333335,3727.0,0.22666666666666666,0.21777777777777776,0.6533333333333333,0.34,0.7272727272727273,0.7045401481544372,0.17248563218390806,0.060438199958298355,3.0,,,,,,,,,,,0.96875,0.02620967741935487
BGL,TF-IDF/BM25 Selection,0.4,0.1,instruction,13,0.06386769999517128,0.8515693332689503,0.88,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.8170235836269992,0.9528535980148883,0.9528535980148883,0.8512189903494249,0.12002676197380817,0.24403543726330423,0.12,3.0,225.0,0.88,66.0,0.5866666666666667,44.0,192.8,14460.0,28.933333333333334,2170.0,12.0,900.0,3.0,225.0,1.0,75.0,688.44,51633.0,50.22666666666667,3767.0,0.29333333333333333,0.19555555555555557,0.5866666666666667,0.29333333333333333,0.75,0.7199465458137237,0.15006915629322268,0.060438199958298355,3.0,,,,,,,,,,,0.8461538461538461,0.12903225806451613
BGL,TF-IDF/BM25 Selection,0.5,0.1,instruction,13,0.06850759999360889,0.9134346665814519,0.84,0.5217391304347826,0.9230769230769231,0.6666666666666666,0.7807017543859649,0.9826302729528537,0.9826302729528537,0.950749506903353,0.13421179645822454,0.2996578972136886,0.16,3.0,225.0,1.16,87.0,0.5866666666666667,44.0,202.85333333333332,15214.0,28.746666666666666,2156.0,13.0,975.0,4.0,300.0,1.0,75.0,760.7733333333333,57058.0,50.46666666666667,3785.0,0.38666666666666666,0.19555555555555557,0.5866666666666667,0.29,0.7692307692307692,0.733359038171685,0.14171158143814908,0.060438199958298355,3.0,,,,,,,,,,,0.7948717948717948,0.17204301075268824
BGL,Mutual Information Feature Selection,0.0,0.1,instruction,13,0.09603429998969659,1.2804573331959546,0.9466666666666667,0.8,0.9230769230769231,0.8571428571428571,0.9121779859484778,0.9913151364764268,0.9913151364764268,0.9730769230769231,0.06941754866452343,0.21124999570317804,0.05333333333333334,3.0,225.0,0.0,0.0,0.02666666666666667,2.0,173.6,13020.0,1.3066666666666666,98.0,9.0,675.0,0.0,0.0,1.0,75.0,515.2533333333333,38644.0,50.12,3759.0,0.0,0.008888888888888889,0.02666666666666667,0.0,0.6666666666666667,0.663078356277818,0.007526881720430108,7.603167399996892,3.0,,,,,,,,,,,1.0,0.0
BGL,Mutual Information Feature Selection,0.1,0.1,instruction,13,0.10152080003172159,1.3536106670896213,0.9466666666666667,0.8,0.9230769230769231,0.8571428571428571,0.9121779859484778,0.9900744416873448,0.9900744416873448,0.9632478632478633,0.06501852613398766,0.20160116794813102,0.05333333333333334,3.0,225.0,0.4266666666666667,32.0,0.013333333333333334,1.0,169.05333333333334,12679.0,0.6533333333333333,49.0,10.0,750.0,1.0,75.0,1.0,75.0,577.7466666666667,43331.0,49.88,3741.0,0.14222222222222222,0.0044444444444444444,0.013333333333333334,0.4266666666666667,0.7,0.7073919364888879,0.0038646580960643583,7.603167399996892,3.0,,,,,,,,,,,1.0,0.0
BGL,Mutual Information Feature Selection,0.2,0.1,instruction,13,0.10585970000829548,1.411462666777273,0.9466666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9069478908188586,0.9838709677419355,0.9838709677419355,0.9480715363068305,0.0679683896316181,0.19174856285609732,0.05333333333333334,3.0,225.0,0.84,63.0,0.013333333333333334,1.0,168.29333333333332,12622.0,0.6533333333333333,49.0,11.0,825.0,2.0,150.0,1.0,75.0,631.6,47370.0,50.333333333333336,3775.0,0.28,0.0044444444444444444,0.013333333333333334,0.42,0.7272727272727273,0.733544437407642,0.003882110600538742,7.603167399996892,3.0,,,,,,,,,,,0.9871794871794872,0.01098901098901095
BGL,Mutual Information Feature Selection,0.3,0.1,instruction,13,0.11124509997898713,1.4832679997198284,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9900744416873449,0.9900744416873449,0.9626696832579186,0.0661011565373407,0.21892408679288797,0.06666666666666667,3.0,225.0,0.7733333333333333,58.0,0.013333333333333334,1.0,165.61333333333334,12421.0,0.6533333333333333,49.0,11.0,825.0,2.0,150.0,1.0,75.0,628.1733333333333,47113.0,49.693333333333335,3727.0,0.2577777777777778,0.0044444444444444444,0.013333333333333334,0.38666666666666666,0.7272727272727273,0.7363572686944155,0.003944931970050721,7.603167399996892,3.0,,,,,,,,,,,0.9506172839506173,0.042328042328042326
BGL,Mutual Information Feature Selection,0.4,0.1,instruction,13,0.10999749996699393,1.4666333328932524,0.9733333333333334,0.8666666666666667,1.0,0.9285714285714286,0.9560889929742389,0.9950372208436725,0.9950372208436725,0.9787545787545787,0.06738587407421197,0.21018082329510185,0.02666666666666667,3.0,225.0,1.16,87.0,0.0,0.0,158.53333333333333,11890.0,0.0,0.0,12.0,900.0,3.0,225.0,1.0,75.0,688.44,51633.0,50.22666666666667,3767.0,0.38666666666666666,0.0,0.0,0.38666666666666666,0.75,0.7697209149187535,0.0,7.603167399996892,3.0,,,,,,,,,,,1.0833333333333335,-0.07142857142857151
BGL,Mutual Information Feature Selection,0.5,0.1,instruction,13,0.15454389998922125,2.0605853331896165,0.96,0.9166666666666666,0.8461538461538461,0.88,0.9279999999999999,0.9950372208436725,0.9950372208436725,0.9787545787545787,0.06120964972765613,0.18011050201279527,0.04,3.0,225.0,1.2666666666666666,95.0,0.0,0.0,161.78666666666666,12134.0,0.0,0.0,13.0,975.0,4.0,300.0,1.0,75.0,760.7733333333333,57058.0,50.46666666666667,3785.0,0.4222222222222222,0.0,0.0,0.31666666666666665,0.7692307692307692,0.7873391987100845,0.0,7.603167399996892,3.0,,,,,,,,,,,1.0266666666666668,-0.02285714285714291
BGL,Embedding Similarity Selection,0.0,0.1,instruction,13,0.4122671000077389,5.496894666769852,0.8933333333333333,0.631578947368421,0.9230769230769231,0.75,0.8411016949152542,0.9838709677419355,0.9838709677419355,0.9472347607799112,0.08379773881399698,0.21509782402968733,0.10666666666666667,3.0,225.0,0.0,0.0,0.9733333333333334,73.0,166.64,12498.0,48.81333333333333,3661.0,9.0,675.0,0.0,0.0,1.0,75.0,515.2533333333333,38644.0,50.12,3759.0,0.0,0.3244444444444444,0.9733333333333334,0.0,0.6666666666666667,0.6765862747127627,0.29292686829892783,0.5359340000431985,3.0,,,,,,,,,,,1.0,0.0
BGL,Embedding Similarity Selection,0.1,0.1,instruction,13,0.44119729998055845,5.882630666407446,0.8666666666666667,0.5882352941176471,0.7692307692307693,0.6666666666666666,0.7916666666666666,0.9392059553349875,0.9392059553349875,0.8696239575572053,0.10149581612712262,0.22595501737480672,0.13333333333333333,3.0,225.0,0.36,27.0,0.9866666666666667,74.0,169.38666666666666,12704.0,49.22666666666667,3692.0,10.0,750.0,1.0,75.0,1.0,75.0,577.7466666666667,43331.0,49.88,3741.0,0.12,0.3288888888888889,0.9866666666666667,0.36,0.7,0.7068149823452032,0.2906171284634761,0.5359340000431985,3.0,,,,,,,,,,,0.8888888888888888,0.08333333333333337
BGL,Embedding Similarity Selection,0.2,0.1,instruction,13,0.4760085999732837,6.346781332977116,0.9333333333333333,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8870822041553749,0.9888337468982631,0.9888337468982631,0.9603238866396762,0.07946290965431249,0.22029957261644673,0.06666666666666667,3.0,225.0,0.5333333333333333,40.0,1.0,75.0,171.65333333333334,12874.0,50.333333333333336,3775.0,11.0,825.0,2.0,150.0,1.0,75.0,631.6,47370.0,50.333333333333336,3775.0,0.17777777777777778,0.3333333333333333,1.0,0.26666666666666666,0.7272727272727273,0.7282246147350644,0.2932266583812335,0.5359340000431985,3.0,,,,,,,,,,,1.0864197530864197,-0.06481481481481477
BGL,Embedding Similarity Selection,0.3,0.1,instruction,13,0.4808214000076987,6.410952000102649,0.8933333333333333,0.631578947368421,0.9230769230769231,0.75,0.8411016949152542,0.9789081885856079,0.9789081885856079,0.9309923409923408,0.09658336520199845,0.23590801303548378,0.10666666666666667,3.0,225.0,0.41333333333333333,31.0,0.9866666666666667,74.0,170.36,12777.0,49.04,3678.0,11.0,825.0,2.0,150.0,1.0,75.0,628.1733333333333,47113.0,49.693333333333335,3727.0,0.13777777777777778,0.3288888888888889,0.9866666666666667,0.20666666666666667,0.7272727272727273,0.7288009678857216,0.2878610002347969,0.5359340000431985,3.0,,,,,,,,,,,1.0,0.0
BGL,Embedding Similarity Selection,0.4,0.1,instruction,13,0.4947334000025876,6.596445333367835,0.8533333333333334,0.5625,0.6923076923076923,0.6206896551724138,0.7648902821316614,0.9441687344913152,0.9441687344913152,0.818832531492378,0.10136770695634967,0.1923363810024699,0.14666666666666667,3.0,225.0,0.52,39.0,1.0,75.0,172.2,12915.0,50.22666666666667,3767.0,12.0,900.0,3.0,225.0,1.0,75.0,688.44,51633.0,50.22666666666667,3767.0,0.17333333333333334,0.3333333333333333,1.0,0.17333333333333334,0.75,0.7498692696531288,0.2916763453348819,0.5359340000431985,3.0,,,,,,,,,,,0.8275862068965517,0.1293103448275862
BGL,Embedding Similarity Selection,0.5,0.1,instruction,13,0.5270417999709025,7.027223999612033,0.8666666666666667,0.6,0.6923076923076923,0.6428571428571429,0.7804449648711944,0.8647642679900744,0.8647642679900744,0.7888300494232696,0.11617619900986609,0.22159420506173483,0.13333333333333333,3.0,225.0,0.76,57.0,1.0,75.0,176.84,13263.0,50.46666666666667,3785.0,13.0,975.0,4.0,300.0,1.0,75.0,760.7733333333333,57058.0,50.46666666666667,3785.0,0.25333333333333335,0.3333333333333333,1.0,0.19,0.7692307692307692,0.7675523151880542,0.2853803815124783,0.5359340000431985,3.0,,,,,,,,,,,0.8571428571428572,0.1071428571428571
BGL,SHAP-based Selection,0.0,0.1,instruction,13,0.26853790000313893,3.5805053333751857,0.88,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.7967479674796748,0.8635235732009925,0.8635235732009925,0.7896274546324398,0.1015256658145219,0.19760191783826178,0.12,3.0,225.0,0.0,0.0,0.05333333333333334,4.0,171.64,12873.0,2.6133333333333333,196.0,9.0,675.0,0.0,0.0,1.0,75.0,515.2533333333333,38644.0,50.12,3759.0,0.0,0.017777777777777778,0.05333333333333334,0.0,0.6666666666666667,0.6668823103198427,0.015225666122892877,3.7956883999868296,3.0,True,,,,,,,,,,1.0,0.0
BGL,SHAP-based Selection,0.1,0.1,instruction,13,0.22863279999000952,3.048437333200127,0.8933333333333333,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.813895781637717,0.8610421836228288,0.8610421836228288,0.7820707070707069,0.09517774156036722,0.16753121879040142,0.10666666666666667,3.0,225.0,0.38666666666666666,29.0,0.02666666666666667,2.0,165.04,12378.0,1.3066666666666666,98.0,10.0,750.0,1.0,75.0,1.0,75.0,577.7466666666667,43331.0,49.88,3741.0,0.1288888888888889,0.008888888888888889,0.02666666666666667,0.38666666666666666,0.7,0.7143384643788512,0.007917272580384552,3.7956883999868296,3.0,True,,,,,,,,,,1.0384615384615385,-0.02564102564102566
BGL,SHAP-based Selection,0.2,0.1,instruction,13,0.14824769995175302,1.9766359993567069,0.92,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.8401988636363636,0.7915632754342431,0.7915632754342431,0.7431270158039025,0.09311043593763878,0.16399126682124035,0.08,3.0,225.0,0.7466666666666667,56.0,0.02666666666666667,2.0,159.18666666666667,11939.0,1.3066666666666666,98.0,11.0,825.0,2.0,150.0,1.0,75.0,631.6,47370.0,50.333333333333336,3775.0,0.24888888888888888,0.008888888888888889,0.02666666666666667,0.37333333333333335,0.7272727272727273,0.7479628456829217,0.008208392662702069,3.7956883999868296,3.0,True,,,,,,,,,,1.090909090909091,-0.06060606060606066
BGL,SHAP-based Selection,0.3,0.1,instruction,13,0.13345140003366396,1.7793520004488528,0.8933333333333333,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.813895781637717,0.8759305210918114,0.8759305210918114,0.7962843427569072,0.09643614599931187,0.17754400772280443,0.10666666666666667,3.0,225.0,0.7333333333333333,55.0,0.02666666666666667,2.0,158.09333333333333,11857.0,1.3066666666666666,98.0,11.0,825.0,2.0,150.0,1.0,75.0,628.1733333333333,47113.0,49.693333333333335,3727.0,0.24444444444444444,0.008888888888888889,0.02666666666666667,0.36666666666666664,0.7272727272727273,0.7483284868295375,0.008265159821202664,3.7956883999868296,3.0,True,,,,,,,,,,1.0384615384615385,-0.02564102564102566
BGL,SHAP-based Selection,0.4,0.1,instruction,13,0.14491600001929328,1.9322133335905771,0.9066666666666666,0.8,0.6153846153846154,0.6956521739130435,0.8202670318384115,0.8647642679900744,0.8647642679900744,0.7772175852821013,0.090829850537756,0.14768598606441186,0.09333333333333334,3.0,225.0,0.9733333333333334,73.0,0.013333333333333334,1.0,154.77333333333334,11608.0,0.6533333333333333,49.0,12.0,900.0,3.0,225.0,1.0,75.0,688.44,51633.0,50.22666666666667,3767.0,0.3244444444444444,0.0044444444444444444,0.013333333333333334,0.3244444444444444,0.75,0.7751825382991497,0.004221226740179187,3.7956883999868296,3.0,True,,,,,,,,,,1.0434782608695652,-0.02898550724637683
BGL,SHAP-based Selection,0.5,0.1,instruction,13,0.1392858999897726,1.8571453331969678,0.8933333333333333,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.7869318181818181,0.7692307692307694,0.7692307692307694,0.6797050051397877,0.10385187909904853,0.13029161891103896,0.10666666666666667,3.0,225.0,1.2,90.0,0.0,0.0,154.12,11559.0,0.0,0.0,13.0,975.0,4.0,300.0,1.0,75.0,760.7733333333333,57058.0,50.46666666666667,3785.0,0.4,0.0,0.0,0.3,0.7692307692307692,0.7974166637456623,0.0,3.7956883999868296,3.0,True,,,,,,,,,,0.9545454545454546,0.030303030303030276
BGL,TeleMin-RAG,0.0,0.1,instruction,13,0.6134064000216313,8.178752000288418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05274972550181658,0.2167047902301788,0.0,1.2266666666666666,92.0,0.0,0.0,0.0,0.0,74.66666666666667,5600.0,0.0,0.0,9.0,675.0,0.0,0.0,1.0,75.0,515.2533333333333,38644.0,50.12,3759.0,0.0,0.0,0.0,0.0,0.8637037037037036,0.8550874650657282,0.0,105.53281100001186,1.2914285714285714,,0.64,1.0,3.0,True,True,True,True,True,True,1.0,0.0
BGL,TeleMin-RAG,0.1,0.1,instruction,13,0.7416922999545932,9.889230666061243,0.9866666666666667,1.0,0.9230769230769231,0.96,0.976,0.998759305210918,0.998759305210918,0.9945054945054945,0.05192197689635532,0.2008925633421497,0.013333333333333334,1.2,90.0,0.10666666666666667,8.0,0.0,0.0,71.6,5370.0,0.0,0.0,10.0,750.0,1.0,75.0,1.0,75.0,577.7466666666667,43331.0,49.88,3741.0,0.08888888888888889,0.0,0.0,0.10666666666666667,0.88,0.876070249936535,0.0,105.53281100001186,1.2914285714285714,,0.64,1.0,3.0,True,True,True,True,True,True,0.96,0.040000000000000036
BGL,TeleMin-RAG,0.2,0.1,instruction,13,0.7094887000275776,9.459849333701035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05065154015566936,0.21295703913718111,0.0,1.2533333333333334,94.0,0.18666666666666668,14.0,0.0,0.0,74.77333333333333,5608.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,631.6,47370.0,50.333333333333336,3775.0,0.14893617021276595,0.0,0.0,0.09333333333333334,0.8860606060606061,0.8816128351277179,0.0,105.53281100001186,1.2914285714285714,,0.64,1.0,3.0,True,True,True,True,True,True,1.0,0.0
